Country,Deaths,Cases,"Death Rate"
"Costa Rica",8525,904934,0.0094
"Ivory Coast",806,84451,0.0095
Mozambique,2215,228972,0.0097
Georgia,16847,1667453,0.0101
"Czech Republic",40350,3951803,0.0102
Belize,680,65994,0.0103
Iraq,25263,2399795,0.0105
Eritrea,103,9852,0.0105
Canada,43510,4024060,0.0108
Venezuela,5745,529384,0.0109
"Equatorial Guinea",183,16584,0.0110
Montenegro,2730,245896,0.0111
Rwanda,1462,131832,0.0111
"United States",1023736,89453076,0.0114
"Saudi Arabia",9229,802586,0.0115
Oman,4628,391641,0.0118
Guinea,445,37358,0.0119
Albania,3517,293917,0.0120
India,525660,43730071,0.0120
Djibouti,189,15690,0.0120
Nigeria,3144,258934,0.0121
Azerbaijan,9717,793388,0.0122
Nepal,11952,981142,0.0122
"Sao Tome and Principe",74,6079,0.0122
Zambia,4009,327994,0.0122
Grenada,233,18640,0.0125
"Saint Vincent and the Grenadines",115,9183,0.0125
Libya,6430,502289,0.0128
Fiji,869,66713,0.0130
Morocco,16173,1248856,0.0130
Kosovo,3146,234880,0.0134
Kazakhstan,19020,1402871,0.0136
Argentina,129145,9426171,0.0137
Croatia,16143,1165478,0.0139
"Saint Lucia",385,27464,0.0140
Chile,58990,4122401,0.0143
Bangladesh,29225,1994433,0.0147
"Papua New Guinea",662,44761,0.0148
Kyrgyzstan,2991,201414,0.0149
"Democratic Republic of the Congo",1376,91737,0.0150
"Wallis and Futuna",7,456,0.0154
Ethiopia,7561,490925,0.0154
"Republic of the Congo",386,24604,0.0157
Mauritania,986,61763,0.0160
Cameroon,1931,120068,0.0161
"Sierra Leone",125,7721,0.0162
Philippines,60641,3727970,0.0163
"Antigua and Barbuda",143,8704,0.0164
Nicaragua,244,14751,0.0165
Kenya,5668,336578,0.0168
Suriname,1377,80919,0.0170
"Burkina Faso",387,21128,0.0183
Guyana,1264,68730,0.0184
Angola,1909,101901,0.0187
Guatemala,18782,977539,0.0192
Poland,116470,6029947,0.0193
Eswatini,1417,73235,0.0193
Iran,141477,7270023,0.0195
Comoros,160,8209,0.0195
Pakistan,30438,1545647,0.0197
Brazil,675090,33250117,0.0203
Armenia,8629,423771,0.0204
Guinea-Bissau,171,8400,0.0204
Russia,374062,18211383,0.0205
Lesotho,702,34040,0.0206
Madagascar,1403,66098,0.0212
Uganda,3627,168629,0.0215
Zimbabwe,5566,256083,0.0217
Jamaica,3166,144489,0.0219
Ukraine,116422,5289732,0.0220
Moldova,11584,523034,0.0221
Romania,65805,2958051,0.0222
Cambodia,3056,136421,0.0224
Tanzania,841,37510,0.0224
Colombia,140365,6223497,0.0226
Bahamas,822,36354,0.0226
Senegal,1968,86679,0.0227
Bolivia,21979,960779,0.0229
"El Salvador",4171,180970,0.0230
Mali,737,31196,0.0236
"Trinidad and Tobago",4036,169028,0.0239
Namibia,4068,169253,0.0240
Hungary,46696,1940824,0.0241
"Sri Lanka",16527,664389,0.0249
Honduras,10912,430672,0.0253
"South Africa",101895,3998466,0.0255
Indonesia,156833,6127084,0.0256
Algeria,6875,266392,0.0258
Chad,193,7427,0.0260
Haiti,837,32070,0.0261
Tunisia,28823,1087030,0.0265
Paraguay,19083,688820,0.0277
"North Macedonia",9339,318138,0.0294
Gambia,365,12009,0.0304
Malawi,2652,86900,0.0305
Bulgaria,37289,1183877,0.0315
Myanmar,19434,613798,0.0317
Niger,311,9096,0.0342
Ecuador,35769,927700,0.0386
Liberia,294,7504,0.0392
"Bosnia and Herzegovina",15817,380749,0.0415
Afghanistan,7729,183407,0.0421
Egypt,24725,515645,0.0479
Somalia,1361,26900,0.0506
Mexico,326420,6408443,0.0509
Syria,3150,55973,0.0563
Peru,213769,3729879,0.0573
Sudan,4955,62795,0.0789
Yemen,2149,11832,0.1816
"North Korea",6,1,6.0000
